,AC_len,AC_reff,AC_reffT,AC_reffT_std,AC_std,FDate,MODIS_10km_All_len,MODIS_10km_All_reff,MODIS_10km_Ice_len,MODIS_10km_Ice_reff,MODIS_10km_Ice_std,MODIS_10km_Liq_len,MODIS_10km_Liq_reff,MODIS_10km_Liq_std,MODIS_1km_All_len,MODIS_1km_All_reff,MODIS_1km_All_std,MODIS_1km_Ice_len,MODIS_1km_Ice_reff,MODIS_1km_Ice_std,MODIS_1km_Liq_len,MODIS_1km_Liq_reff,MODIS_1km_Liq_std,MODIS_5km_All_len,MODIS_5km_All_reff,MODIS_5km_Ice_len,MODIS_5km_Ice_reff,MODIS_5km_Ice_std,MODIS_5km_Liq_len,MODIS_5km_Liq_reff,MODIS_5km_Liq_std
20130614_133658,117,8.423737545483654,12.603998314872095,9.3205982810919,2.2033519407830497,20130614_133658,679656,25.506775888515612,0,,33.19229098753441,1281,26.587007977518766,3.785426278191605,678773,25.517586265078297,33.21225981157117,0,,,398,16.39976689447236,4.035156082065509,679133,25.512925582669368,0,,33.20418071996631,758,16.554373420844332,3.8733555457424336
20130628_130139,688,14.074027041336198,28.95939707205385,12.899323007401614,2.959109550218385,20130628_130139,435543,16.197112697354466,19,40.8364422631579,44.21766490551928,917,26.587007977518766,4.587334958703374,435083,16.190566502317598,44.24033346556585,7,46.92387857142857,8.88927301563749,457,23.466646536105035,4.612881142652063,435326,16.193950291822333,10,43.0726923,44.22833568786034,700,23.04516668142857,4.562050875811416
20130707_125944,52,16.53525771841707,33.67139760756593,19.224395720055142,3.318547108365842,20130707_125944,244070,-13.943320241539269,430,38.90689961860464,65.70716124980973,726,26.587007977518766,5.605393705507863,243850,-13.973577487141693,65.72882886222784,210,35.569061785714275,13.024233143249461,506,19.555692456521722,5.46333351251071,243973,-13.956706479796926,294,37.768263612244866,65.71668498392475,629,19.542926275039733,5.551577348290177
20150830_130524,405,12.543651180368892,44.78084192465148,21.247059083674756,3.4182409523550175,20150830_130524,123843,29.52789605471747,0,,23.90420718490763,53,26.587007977518766,2.6513072053808773,123794,29.529349223826483,23.908767802384368,0,,,4,27.8822115,1.39139477241257,123808,29.529056200708965,0,,23.90744825642889,18,27.1478405,2.4935463859706966
20130815_122404,254,12.465154763833281,15.816821996409965,7.771731512303933,2.7153926762048246,20130815_122404,1137154,25.536909222265386,1484,34.03309904514818,23.06692516995947,946,26.587007977518766,3.2792298083543265,1136574,25.53734032453846,23.072685736094254,545,33.105826700917454,7.927726047548041,366,25.46540402459016,3.278726486784845,1136913,25.537230349836786,993,32.99115171299096,23.06930659151445,705,25.322644787234054,3.1738422354488405
20130907_122442,285,12.60605984096477,33.254159682130165,23.969375898506566,3.0374787069418194,20130907_122442,554670,23.709793782496362,4,49.10258925,38.68242095927692,323,26.587007977518766,4.569608168310035,554518,23.70993360000621,38.68765947513288,4,49.10258925,7.162669150636111,171,22.353144578947358,4.857821457576701,554571,23.709881939730444,4,49.10258925,38.68583501154667,224,22.54627193303571,4.765447583009099
20131011_132432,14,7.542109837897996,13.505640732123712,25.50147631535163,4.889769189721596,20131011_132432,460675,23.64643075725289,530,19.142915705660375,36.43312423159308,2405,26.587007977518766,4.062237819269868,459367,23.652416036390235,36.48415664736888,219,15.257104273972612,4.4980406159307345,1097,22.403639083865098,4.073888463200438,459941,23.64966110072264,351,17.829926230769235,36.4617256317206,1671,22.07430940394974,4.036761629286397
20140806_150804,65,11.83070618228799,17.253044120671124,13.62394486831166,2.9226008937197796,20140806_150804,1134109,17.660008290427534,1366,22.203760368228426,40.77751280371165,1336,26.587007977518766,4.429867313972693,1133168,17.66034661751785,40.79426220067133,798,22.763625665413525,10.150898492434383,395,17.658512453164544,4.994748844106292,1133555,17.660408233716474,1085,22.56576163133641,40.78737243532759,782,17.748736457800494,4.625762653159328
20140903_124321,148,12.399053335785185,28.27617366479973,43.00246399847829,3.8084626401166854,20140903_124321,786400,30.303052530041857,213,35.551749633802814,29.064994135079363,1982,26.587007977518766,3.8495777290088706,785727,30.30912434229435,29.076525718390073,87,37.81414924137932,12.60867456295586,1309,21.709379647058817,3.9556687925497496,786078,30.305628656388944,165,35.22120479999999,29.070602166011273,1660,21.872408925903635,3.8916111448389277
20140912_124317,5,8.091848365077785,8.095427749906772,2.324314091983008,2.3212860353809215,20140912_124317,663575,23.733134070816554,2,45.375462,37.99842384334551,355,26.587007977518766,4.024368511455032,663300,23.734770805356685,38.006137556393064,1,45.215478000000004,,80,21.888185962499993,4.439488280104393,663419,23.73409264388883,2,45.375462,38.002797093356484,199,20.73159497487438,4.1933434420372455
20151001_123025,73,6.565767311904464,9.699759349297993,24.412320628390468,2.060768434738455,20151001_123025,533852,26.49066079986448,169,26.716085520710056,28.887531163321675,2877,26.587007977518766,4.861582714078453,532465,26.510730010853766,28.921406958476272,82,30.41634830487805,10.519692084069295,1490,18.17742368657718,4.886493395533802,533102,26.50138492176964,121,29.64265527272727,28.905855227810495,2127,18.330893572637507,4.856706569102035
20130723_130219,1200,4.246431378527603,4.267921713829085,3.767502632659678,3.744315698500794,20130723_130219,571332,22.063020560653378,0,,24.904228366019037,1957,26.587007977518766,1.7881757817104402,569765,22.090889669490423,24.932592110182846,0,,,390,11.525488361538464,1.6506621615989776,570136,22.084376261581824,0,,24.925844591819633,761,11.796494345597903,1.91712759434583
